"name","ingredients","diet","prep_time","cook_time","flavor_profile","course","state","region","food_id","no_of_ingred","complexity"
"Gajar ka halwa","Carrots, milk, sugar, ghee, cashews, raisins","vegetarian",15,60,"sweet","dessert","Punjab","North",3,6,"MEDIUM"
"Cham cham","Flour, cream, sugar, saffron, lemon juice, coconut flakes","vegetarian",40,60,"sweet","dessert","West Bengal","East",24,6,"MEDIUM"
"Kheer sagar","Chenna, condensed milk, sugar, saffron, cardamom","vegetarian",25,60,"sweet","dessert","Odisha","East",25,5,"MEDIUM"
"Adhirasam","Rice flour, jaggery, ghee, vegetable oil, elachi","vegetarian",10,50,"sweet","dessert","West Bengal","East",37,5,"MEDIUM"
"Gavvalu","Rice flour, sugar, salt, ghee, semolina","vegetarian",10,30,"sweet","dessert","Andhra Pradesh","South",43,5,"MEDIUM"
"Ghevar","Flour, ghee, kewra, milk, clarified butter, sugar, almonds, pistachio, saffron, green cardamom","vegetarian",15,30,"sweet","dessert","Rajasthan","West",4,10,"HARD"
"Gulab jamun","Milk powder, plain flour, baking powder, ghee, milk, sugar, water, rose water","vegetarian",15,40,"sweet","dessert","West Bengal","East",5,8,"HARD"
"Jalebi","Maida, corn flour, baking soda, vinegar, curd, water, turmeric, saffron, cardamom","vegetarian",10,50,"sweet","dessert","Uttar Pradesh","North",7,9,"HARD"
"Bandar laddu","Besan, jaggery, cardamom powder, ghee, cashews and raisins, jaggery syrup, sugar","vegetarian",5,35,"sweet","dessert","Andhra Pradesh","South",39,7,"HARD"
"Mysore pak","Besan flour, semolina, mung bean, jaggery, coconut, skimmed milk powder, sugar, ghee","vegetarian",5,20,"sweet","dessert","Karnataka","South",46,8,"HARD"
"Obbattu holige","Maida flour, turmeric, coconut, chickpeas, jaggery, ghee, cardamom","vegetarian",180,60,"sweet","main course","Karnataka","South",47,7,"HARD"
"Modak","Rice flour, coconut, jaggery ","vegetarian",10,15,"sweet","dessert","Maharashtra","West",61,3,"EASY"
"Maach Jhol","Fish, potol, tomato, chillies, ginger, garlic","non vegetarian",10,40,"spicy","main course","Assam","North East",65,6,"MEDIUM"
"Galho","Rice, axone, salt, water, chillies, pork","non vegetarian",5,15,"spicy","main course","Nagaland","North East",68,6,"MEDIUM"
"Aloo gobi","Cauliflower, potato, garam masala, turmeric, curry leaves","vegetarian",10,20,"spicy","main course","Punjab","North",69,5,"MEDIUM"
"Aloo tikki","Rice flour, potato, bread crumbs, garam masala, salt","vegetarian",5,20,"spicy","main course","Punjab","North",70,5,"MEDIUM"
"Aloo matar","Potato, peas, chillies, ginger, garam masala, garlic","vegetarian",5,40,"spicy","main course","Punjab","North",71,6,"MEDIUM"
"Aloo methi","Potato, fenugreek leaves, chillies, salt, oil","vegetarian",10,40,"bitter","main course","Punjab","North",72,5,"MEDIUM"
"Panjeeri","Whole wheat flour, musk melon seeds, poppy seeds, edible gum, semolina","vegetarian",10,25,"sweet","dessert","Uttar Pradesh",NULL,111,5,"MEDIUM"
"Pattor","Arbi ke patte, sesame seeds, gur, bengal gram flour, imli","vegetarian",10,30,"spicy","main course","Rajasthan","West",114,5,"MEDIUM"
"Pindi chana","Fennel, tea bags, tomato, kasuri methi, cinnamon","vegetarian",500,120,"spicy","main course","Punjab","North",115,5,"MEDIUM"
"Sattu ki roti","Sattu, atta, dough, filling, mustard oil","vegetarian",10,20,"spicy","main course","Bihar","North",119,5,"MEDIUM"
"Shahi paneer","Cottage cheese, malai, garam masala, ginger, tomato","vegetarian",20,40,"spicy","main course","Punjab","North",120,5,"MEDIUM"
"Shahi tukra","Rose water, milk, white bread slices, saffron, almonds","vegetarian",10,30,"sweet","dessert","Telangana","South",121,5,"MEDIUM"
"Chicken Varuval","Meat curry powder, chicken chunks, ginger, tomato, cinnamon","non vegetarian",10,35,"spicy","main course","Tamil Nadu","South",164,5,"MEDIUM"
"Amti","Kala masala, arhar dal, curry leaves, mustard seeds, hot water","vegetarian",10,45,"spicy","main course","Maharashtra","West",166,5,"MEDIUM"
